buying,persons,safety,class
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
