cap-color,odor,gill-size,gill-color,stalk-root,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,habitat,class
0,5,0,2,2,3,4,4,1,2,5,p
2,2,1,2,0,3,4,4,1,0,6,e
3,7,1,0,0,3,4,4,1,0,1,e
3,5,0,0,2,3,4,4,1,2,5,p
9,0,1,2,2,3,4,4,3,0,6,e
2,2,1,0,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,2,1,e
3,7,1,0,0,3,4,4,1,0,1,e
3,5,0,5,2,3,4,4,1,2,6,p
2,2,1,11,0,3,4,4,1,2,1,e
2,7,1,11,0,3,4,4,1,0,6,e
2,2,1,0,0,3,4,4,1,2,1,e
2,2,1,4,0,3,4,4,1,0,6,e
3,5,0,2,2,3,4,4,1,0,5,p
0,0,1,0,2,2,4,4,3,2,6,e
9,0,0,2,2,3,4,4,1,0,5,e
3,0,1,2,2,3,4,4,3,0,6,e
0,5,0,0,2,3,4,4,1,2,6,p
3,5,0,0,2,3,4,4,1,0,5,p
0,5,0,2,2,3,4,4,1,0,5,p
2,2,1,2,0,3,4,4,1,0,1,e
0,5,0,0,2,3,4,4,1,0,6,p
2,7,1,2,0,3,4,4,1,0,1,e
3,2,1,4,0,3,4,4,1,0,1,e
3,7,1,11,0,3,4,4,1,2,1,e
3,5,0,0,2,3,4,4,1,0,6,p
2,2,1,0,0,3,4,4,1,0,1,e
3,7,1,4,0,3,4,4,1,0,1,e
0,0,0,2,2,3,4,4,1,2,5,e
2,2,0,0,1,3,4,4,1,0,4,e
2,7,1,11,0,3,4,4,1,0,1,e
3,5,0,2,2,3,4,4,1,0,5,p
2,7,1,0,0,3,4,4,1,0,1,e
0,7,1,5,4,0,4,4,1,0,3,e
2,7,1,0,0,3,4,4,1,0,1,e
2,7,0,4,1,3,4,4,1,0,4,e
9,0,0,2,2,3,4,4,1,2,5,e
0,5,0,4,2,3,4,4,1,0,5,p
2,2,0,5,1,3,4,4,1,0,4,e
2,7,1,2,0,3,4,4,1,2,1,e
2,2,1,0,0,3,4,4,1,0,6,e
2,7,1,0,4,0,4,4,1,2,3,e
0,0,0,11,2,3,4,4,1,2,5,e
3,5,0,5,2,3,4,4,1,0,6,p
2,2,1,4,0,3,4,4,1,2,1,e
3,2,1,0,0,3,4,4,1,0,6,e
2,7,1,2,0,3,4,4,1,2,1,e
3,7,1,4,0,3,4,4,1,0,1,e
2,7,1,0,4,0,4,4,1,0,3,e
2,7,1,4,4,0,4,4,1,2,3,e
0,2,1,4,4,0,4,4,1,2,6,e
3,7,1,2,0,3,4,4,1,2,6,e
3,7,1,2,0,3,4,4,1,0,1,e
0,5,0,2,2,3,4,4,1,0,5,p
3,5,0,2,2,3,4,4,1,2,5,p
2,2,1,4,0,3,4,4,1,2,1,e
9,0,1,0,2,3,4,4,3,0,6,e
3,2,1,4,0,3,4,4,1,0,6,e
2,7,1,2,0,3,4,4,1,2,6,e
0,2,1,5,4,0,4,4,1,2,3,e
9,0,0,2,2,3,4,4,1,0,5,e
2,2,1,2,0,3,4,4,1,0,1,e
2,7,1,11,0,3,4,4,1,0,1,e
2,7,1,11,0,3,4,4,1,0,1,e
3,7,1,0,0,3,4,4,1,0,6,e
0,0,1,2,2,3,4,4,3,2,6,e
3,7,1,0,0,3,4,4,1,2,6,e
2,2,1,4,4,0,4,4,1,0,6,e
2,2,1,4,0,3,4,4,1,2,6,e
9,0,0,5,2,3,4,4,1,0,5,e
2,7,0,5,1,3,4,4,1,0,4,e
3,7,1,11,0,3,4,4,1,0,1,e
2,7,0,4,1,3,4,4,1,0,4,e
0,2,1,5,4,0,4,4,1,2,3,e
2,2,1,2,0,3,4,4,1,2,6,e
2,7,0,5,1,3,4,4,1,0,4,e
3,7,0,0,1,3,4,4,1,8,4,e
0,7,1,5,4,0,4,4,1,0,3,e
0,5,0,4,2,3,4,4,1,0,5,p
0,2,1,0,4,0,4,4,1,0,6,e
0,0,1,2,2,3,4,4,3,0,6,e
3,5,0,4,2,3,4,4,1,2,6,p
9,0,0,0,2,3,4,4,1,0,5,e
9,0,1,0,2,3,4,4,3,0,6,e
2,7,1,4,4,0,4,4,1,2,6,e
0,0,1,2,2,3,4,4,3,2,6,e
3,2,1,4,0,3,4,4,1,2,6,e
3,7,1,0,0,3,4,4,1,0,6,e
0,7,1,4,4,0,4,4,1,2,6,e
0,0,0,0,2,3,4,4,1,0,5,e
0,0,0,0,2,3,4,4,1,0,5,e
3,7,1,2,0,3,4,4,1,2,6,e
2,2,1,11,0,3,4,4,1,2,6,e
2,7,1,11,0,3,4,4,1,2,1,e
0,0,1,0,2,3,4,4,3,0,6,e
3,2,1,11,0,3,4,4,1,0,6,e
0,7,1,5,4,0,4,4,1,0,6,e
2,2,1,0,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,0,6,e
3,2,1,11,0,3,4,4,1,2,6,e
0,0,1,5,2,3,4,4,3,2,6,e
2,7,1,0,0,3,4,4,1,2,6,e
2,7,1,4,4,0,4,4,1,0,6,e
2,2,1,0,4,0,4,4,1,2,3,e
3,7,1,11,0,3,4,4,1,0,6,e
2,2,1,0,0,3,4,4,1,2,1,e
2,2,1,4,4,0,4,4,1,0,6,e
3,7,1,0,0,3,4,4,1,2,1,e
3,2,1,11,0,3,4,4,1,0,1,e
2,2,1,2,0,3,4,4,1,2,1,e
2,7,1,4,0,3,4,4,1,2,6,e
9,0,0,11,2,3,4,4,1,2,5,e
3,2,0,4,1,3,4,4,1,8,4,e
2,2,1,0,0,3,4,4,1,2,1,e
3,5,0,0,2,3,4,4,1,0,5,p
2,7,1,5,4,0,4,4,1,0,6,e
9,0,0,5,2,3,4,4,1,0,5,e
2,7,1,4,4,0,4,4,1,2,6,e
2,7,0,5,1,3,4,4,1,8,4,e
0,0,0,2,2,3,4,4,1,0,5,e
3,5,0,2,2,3,4,4,1,2,6,p
3,2,1,11,0,3,4,4,1,0,1,e
0,5,0,5,2,3,4,4,1,2,6,p
9,0,1,2,2,3,4,4,3,0,6,e
2,7,1,11,0,3,4,4,1,0,1,e
3,0,1,0,2,2,4,4,3,2,6,e
2,2,1,4,0,3,4,4,1,0,6,e
9,0,1,8,2,3,4,4,3,0,6,e
3,7,1,0,0,3,4,4,1,2,6,e
3,7,1,0,0,3,4,4,1,0,1,e
3,7,1,4,0,3,4,4,1,0,6,e
3,7,1,4,0,3,4,4,1,0,1,e
3,7,0,4,1,3,4,4,1,8,4,e
2,7,1,11,0,3,4,4,1,2,1,e
3,2,0,5,1,3,4,4,1,0,4,e
3,5,0,4,2,3,4,4,1,0,5,p
3,7,0,4,1,3,4,4,1,0,4,e
2,2,1,0,0,3,4,4,1,0,6,e
0,5,0,5,2,3,4,4,1,0,6,p
2,7,1,4,0,3,4,4,1,0,6,e
0,2,1,4,4,0,4,4,1,2,3,e
2,7,1,11,0,3,4,4,1,2,1,e
0,0,0,2,2,3,4,4,1,0,5,e
0,2,1,4,4,0,4,4,1,2,3,e
2,2,1,2,0,3,4,4,1,2,6,e
9,0,1,2,2,2,4,4,3,2,6,e
3,0,1,2,2,2,4,4,3,0,6,e
2,7,1,4,0,3,4,4,1,0,1,e
2,7,1,2,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,2,1,e
3,2,1,4,0,3,4,4,1,0,6,e
0,0,1,5,2,3,4,4,3,0,6,e
3,7,1,11,0,3,4,4,1,0,6,e
0,0,0,2,2,3,4,4,1,2,5,e
3,2,0,4,1,3,4,4,1,8,4,e
0,7,1,4,4,0,4,4,1,2,6,e
2,2,1,2,0,3,4,4,1,0,6,e
3,2,1,2,0,3,4,4,1,0,6,e
3,2,1,0,0,3,4,4,1,2,1,e
2,2,1,11,0,3,4,4,1,2,6,e
2,7,1,11,0,3,4,4,1,2,1,e
2,2,1,0,0,3,4,4,1,2,6,e
0,0,0,2,2,3,4,4,1,0,5,e
0,7,1,0,4,0,4,4,1,0,6,e
3,2,1,2,0,3,4,4,1,0,6,e
2,7,1,4,4,0,4,4,1,0,3,e
3,2,1,4,0,3,4,4,1,0,6,e
3,2,1,4,0,3,4,4,1,2,1,e
0,7,1,4,4,0,4,4,1,2,6,e
3,2,1,2,0,3,4,4,1,2,6,e
9,0,0,11,2,3,4,4,1,0,5,e
2,7,1,2,0,3,4,4,1,0,6,e
2,7,0,0,1,3,4,4,1,8,4,e
2,2,1,4,0,3,4,4,1,2,6,e
2,7,1,5,4,0,4,4,1,0,6,e
3,7,1,4,0,3,4,4,1,2,1,e
3,2,1,2,0,3,4,4,1,2,1,e
2,2,1,11,0,3,4,4,1,0,6,e
2,7,1,11,0,3,4,4,1,0,1,e
2,7,1,11,0,3,4,4,1,0,6,e
3,5,0,5,2,3,4,4,1,0,5,p
0,0,0,11,2,3,4,4,1,0,5,e
0,0,0,11,2,3,4,4,1,2,5,e
2,2,1,11,0,3,4,4,1,0,1,e
0,2,1,5,4,0,4,4,1,2,3,e
3,5,0,2,2,3,4,4,1,2,6,p
3,7,1,11,0,3,4,4,1,0,1,e
9,0,0,5,2,3,4,4,1,2,5,e
2,7,1,11,0,3,4,4,1,0,6,e
0,2,1,4,4,0,4,4,1,0,3,e
3,0,1,5,2,2,4,4,3,2,6,e
3,7,0,4,1,3,4,4,1,0,4,e
3,7,1,4,0,3,4,4,1,0,1,e
2,2,0,4,1,3,4,4,1,0,4,e
2,2,1,2,0,3,4,4,1,0,1,e
9,0,0,11,2,3,4,4,1,0,5,e
2,2,1,0,0,3,4,4,1,2,6,e
3,7,1,11,0,3,4,4,1,0,1,e
3,7,1,0,0,3,4,4,1,0,1,e
3,2,0,0,1,3,4,4,1,0,4,e
2,7,1,4,0,3,4,4,1,0,6,e
3,7,1,4,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,2,6,e
3,0,1,8,2,3,4,4,3,2,6,e
0,7,1,0,4,0,4,4,1,2,3,e
3,5,0,2,2,3,4,4,1,0,5,p
3,2,1,0,0,3,4,4,1,0,6,e
3,2,1,2,0,3,4,4,1,2,1,e
3,7,1,0,0,3,4,4,1,0,6,e
3,2,1,4,0,3,4,4,1,2,6,e
2,2,1,4,0,3,4,4,1,2,6,e
3,7,1,4,0,3,4,4,1,2,1,e
2,2,0,0,1,3,4,4,1,0,4,e
9,0,0,0,2,3,4,4,1,0,5,e
2,2,1,0,4,0,4,4,1,0,6,e
3,7,1,0,0,3,4,4,1,2,1,e
2,2,1,11,0,3,4,4,1,2,6,e
2,2,1,2,0,3,4,4,1,2,6,e
3,7,1,4,0,3,4,4,1,0,6,e
9,0,0,5,2,3,4,4,1,0,5,e
3,2,1,0,0,3,4,4,1,0,1,e
3,5,0,2,2,3,4,4,1,2,6,p
2,2,1,0,4,0,4,4,1,0,6,e
3,2,0,5,1,3,4,4,1,0,4,e
3,7,1,11,0,3,4,4,1,2,1,e
3,7,1,0,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,0,6,e
2,2,1,11,0,3,4,4,1,0,6,e
0,5,0,5,2,3,4,4,1,2,5,p
2,2,1,0,0,3,4,4,1,0,6,e
9,0,0,0,2,3,4,4,1,2,5,e
3,5,0,2,2,3,4,4,1,2,5,p
2,7,1,0,4,0,4,4,1,0,3,e
0,0,0,2,2,3,4,4,1,2,5,e
3,7,1,2,0,3,4,4,1,0,6,e
3,7,0,4,1,3,4,4,1,0,4,e
3,7,1,4,0,3,4,4,1,2,6,e
2,7,1,0,0,3,4,4,1,0,6,e
2,7,1,0,4,0,4,4,1,2,6,e
2,2,1,5,4,0,4,4,1,2,3,e
2,2,1,4,4,0,4,4,1,2,3,e
3,7,1,4,0,3,4,4,1,2,6,e
3,2,1,4,0,3,4,4,1,0,1,e
3,5,0,0,2,3,4,4,1,2,5,p
3,2,0,5,1,3,4,4,1,8,4,e
3,7,1,4,0,3,4,4,1,0,6,e
3,7,0,5,1,3,4,4,1,8,4,e
3,2,1,0,0,3,4,4,1,2,1,e
2,7,1,4,4,0,4,4,1,2,3,e
0,0,1,5,2,3,4,4,3,2,6,e
2,2,1,4,4,0,4,4,1,0,6,e
0,5,0,5,2,3,4,4,1,0,6,p
0,0,0,11,2,3,4,4,1,0,5,e
2,7,1,4,0,3,4,4,1,0,1,e
3,7,1,0,0,3,4,4,1,0,6,e
3,7,1,2,0,3,4,4,1,0,1,e
0,0,0,2,2,3,4,4,1,0,5,e
3,2,1,4,0,3,4,4,1,2,1,e
3,7,1,11,0,3,4,4,1,2,6,e
3,2,1,11,0,3,4,4,1,0,1,e
0,7,1,4,4,0,4,4,1,0,6,e
3,5,0,2,2,3,4,4,1,2,6,p
3,2,1,0,0,3,4,4,1,0,6,e
3,2,1,0,0,3,4,4,1,0,1,e
3,7,0,4,1,3,4,4,1,8,4,e
9,0,0,11,2,3,4,4,1,2,5,e
9,0,1,5,2,3,4,4,3,2,6,e
2,2,1,11,0,3,4,4,1,0,1,e
3,2,1,2,0,3,4,4,1,0,1,e
0,5,0,4,2,3,4,4,1,2,5,p
3,7,1,0,0,3,4,4,1,2,1,e
0,5,0,4,2,3,4,4,1,2,5,p
3,7,1,2,0,3,4,4,1,0,6,e
2,2,1,2,0,3,4,4,1,0,1,e
2,2,1,0,4,0,4,4,1,0,3,e
0,2,1,4,4,0,4,4,1,0,3,e
0,2,1,4,4,0,4,4,1,0,6,e
3,2,1,4,0,3,4,4,1,0,1,e
0,0,1,8,2,3,4,4,3,2,6,e
2,7,1,2,0,3,4,4,1,0,1,e
3,5,0,4,2,3,4,4,1,0,6,p
