cap-color,odor,gill-size,stalk-root,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,population,habitat,class
0,5,0,2,3,4,4,1,2,5,5,p
2,2,1,0,3,4,4,1,0,0,6,e
3,7,1,0,3,4,4,1,0,0,1,e
3,5,0,2,3,4,4,1,2,5,5,p
9,0,1,2,3,4,4,3,0,3,6,e
2,2,1,0,3,4,4,1,2,0,6,e
3,2,1,0,3,4,4,1,2,0,1,e
3,7,1,0,3,4,4,1,0,5,1,e
3,5,0,2,3,4,4,1,2,1,6,p
2,2,1,0,3,4,4,1,2,5,1,e
2,7,1,0,3,4,4,1,0,0,6,e
2,2,1,0,3,4,4,1,2,5,1,e
2,2,1,0,3,4,4,1,0,5,6,e
3,5,0,2,3,4,4,1,0,1,5,p
0,0,1,2,2,4,4,3,2,3,6,e
9,0,0,2,3,4,4,1,0,4,5,e
3,0,1,2,3,4,4,3,0,3,6,e
0,5,0,2,3,4,4,1,2,5,6,p
3,5,0,2,3,4,4,1,0,5,5,p
0,5,0,2,3,4,4,1,0,5,5,p
2,2,1,0,3,4,4,1,0,5,1,e
0,5,0,2,3,4,4,1,0,1,6,p
2,7,1,0,3,4,4,1,0,5,1,e
3,2,1,0,3,4,4,1,0,0,1,e
3,7,1,0,3,4,4,1,2,5,1,e
3,5,0,2,3,4,4,1,0,1,6,p
2,2,1,0,3,4,4,1,0,0,1,e
3,7,1,0,3,4,4,1,0,0,1,e
0,0,0,2,3,4,4,1,2,4,5,e
2,2,0,1,3,4,4,1,0,1,4,e
2,7,1,0,3,4,4,1,0,0,1,e
3,5,0,2,3,4,4,1,0,5,5,p
2,7,1,0,3,4,4,1,0,0,1,e
0,7,1,4,0,4,4,1,0,4,3,e
2,7,1,0,3,4,4,1,0,5,1,e
2,7,0,1,3,4,4,1,0,1,4,e
9,0,0,2,3,4,4,1,2,1,5,e
0,5,0,2,3,4,4,1,0,5,5,p
2,2,0,1,3,4,4,1,0,1,4,e
2,7,1,0,3,4,4,1,2,5,1,e
2,2,1,0,3,4,4,1,0,5,6,e
2,7,1,4,0,4,4,1,2,4,3,e
0,0,0,2,3,4,4,1,2,4,5,e
3,5,0,2,3,4,4,1,0,1,6,p
2,2,1,0,3,4,4,1,2,0,1,e
3,2,1,0,3,4,4,1,0,0,6,e
2,7,1,0,3,4,4,1,2,5,1,e
3,7,1,0,3,4,4,1,0,0,1,e
